
Date,Name,Year,Letterboxd URI,Rating
2024-06-07,As Good as It Gets,1997,https://boxd.it/268y,4
2024-06-07,Creep,2014,https://boxd.it/7l4c,3
2024-06-10,Hit Man,2023,https://boxd.it/ANB2,3
2024-06-10,The Nanny Diaries,2007,https://boxd.it/1RZM,2
2024-06-12,My Sister's Keeper,2009,https://boxd.it/1Xh2,2.5
2024-06-20,Kill Bill: Vol. 1,2003,https://boxd.it/70w,5
2024-06-20,Kill Bill: Vol. 2,2004,https://boxd.it/2au4,5
2024-07-09,Inside Out 2,2024,https://boxd.it/CFrC,3
2024-07-14,Now You See Me,2013,https://boxd.it/2Bsu,2.5
2024-07-14,Trouble with the Curve,2012,https://boxd.it/37pW,2.5
2024-07-16,Ferris Bueller's Day Off,1986,https://boxd.it/1YPY,5
2024-07-17,The Breakfast Club,1985,https://boxd.it/27q4,4
2024-07-17,Four Good Days,2020,https://boxd.it/nP0c,3.5
2024-07-18,The Vow,2012,https://boxd.it/2o4Y,1.5
2024-07-25,The Goonies,1985,https://boxd.it/1YVC,4
2024-07-30,American Sniper,2014,https://boxd.it/5LDy,4
2024-07-30,Demolition,2015,https://boxd.it/9GuY,5
2024-08-03,Marriage Story,2019,https://boxd.it/hJAw,3
2024-08-04,Her,2013,https://boxd.it/4O24,4
